strategy,entry_time,direction,entry_price,stop_loss,take_profit,exit_price,exit_time,outcome,pnl_pts,reason
SWEEPREV_guard,2025-09-03 20:00:00,SELL,112256.8,113234.67,109951.28,109951.28,2025-09-04 12:00:00,TP,2275.52,SWEEPREV_S
SWEEPREV_guard,2025-09-11 08:00:00,SELL,114134.3,115015.77,112434.68,115015.77,2025-09-11 20:00:00,SL,-911.47,SWEEPREV_S
SWEEPREV_guard,2025-09-12 04:00:00,SELL,115239.1,116848.12,113156.83,115341.5,2025-09-16 00:00:00,TIME,-132.4,SWEEPREV_S
SWEEPREV_guard,2025-09-17 00:00:00,SELL,116850.0,117464.39,115630.94,115630.94,2025-09-17 12:00:00,TP,1189.06,SWEEPREV_S
SWEEPREV_guard,2025-09-18 20:00:00,SELL,117519.0,118514.79,116342.78,116342.78,2025-09-19 12:00:00,TP,1146.21,SWEEPREV_S
SWEEPREV_guard,2025-09-23 04:00:00,BUY,112442.0,111058.04,115344.32,111802.0,2025-09-25 04:00:00,TIME,-670.0,SWEEPREV_L
SWEEPREV_guard,2025-09-25 16:00:00,BUY,111676.5,110140.5,112558.9,110140.5,2025-09-25 16:00:00,SL,-1566.0,SWEEPREV_L
SWEEPREV_guard,2025-09-29 16:00:00,SELL,113896.0,114967.52,111205.88,114967.52,2025-10-01 08:00:00,SL,-1101.52,SWEEPREV_S
SWEEPREV_guard,2025-10-01 20:00:00,SELL,117510.0,118864.7,113646.85,118864.7,2025-10-02 00:00:00,SL,-1384.7,SWEEPREV_S
SWEEPREV_guard,2025-10-09 20:00:00,BUY,121056.8,118866.34,122856.39,118866.34,2025-10-10 12:00:00,SL,-2220.46,SWEEPREV_L
SWEEPREV_guard,2025-10-14 16:00:00,BUY,112973.0,108812.05,116650.29,108812.05,2025-10-16 12:00:00,SL,-4190.95,SWEEPREV_L
SWEEPREV_guard,2025-10-17 00:00:00,BUY,108214.6,106638.2,111745.23,106638.2,2025-10-17 04:00:00,SL,-1606.4,SWEEPREV_L
