strategy,entry_time,side,entry_px,sl,tp,exit_px,exit_time,outcome,pnl_pts,pnl_usd,gated_reason_at_entry
KRONOS_S95_SESSION_BREAKOUT,2026-05-14T09:14:00+00:00,SELL,4694.33,4702.54,4682.64,4702.79,2026-05-14T09:50:00+00:00,SL,-8.46,-16.92,"session_vol: in window (9.23h UTC), vol=NORMAL"
SESSION_BREAKOUT,2026-05-15T13:39:00+00:00,SELL,4536.035,4557.66,4504.22,4557.91,2026-05-15T14:19:00+00:00,SL,-21.875,-43.75,"session_vol: in window (13.65h UTC), vol=HIGH"
KRONOS_S95_SESSION_BREAKOUT,2026-05-18T07:19:00+00:00,SELL,4541.845,4549.68,4530.72,4549.93,2026-05-18T07:26:00+00:00,SL,-8.085,-16.17,"session_vol: in window (7.32h UTC), vol=NORMAL"
KRONOS_S97_SNAP_SCALPER,2026-05-18T07:29:00+00:00,SELL,4550.4,4558.35,4546.37,4558.6,2026-05-18T07:30:00+00:00,SL,-8.2,-16.4,"quiet_fade: 7.48h UTC, vol=NORMAL, d1=bearish"
KRONOS_S97_SNAP_SCALPER,2026-05-18T07:31:00+00:00,SELL,4550.4,4558.35,4546.37,4558.6,2026-05-18T07:32:00+00:00,SL,-8.2,-16.4,"quiet_fade: 7.52h UTC, vol=NORMAL, d1=bearish"
KRONOS_S97_SNAP_SCALPER,2026-05-18T07:33:00+00:00,SELL,4550.4,4558.35,4546.37,4546.62,2026-05-18T07:48:00+00:00,TP,3.78,7.56,"quiet_fade: 7.55h UTC, vol=NORMAL, d1=bearish"
KRONOS_S95_SESSION_BREAKOUT,2026-05-18T08:24:00+00:00,BUY,4550.26,4542.22,4561.69,4541.97,2026-05-18T09:03:00+00:00,SL,-8.29,-16.58,"session_vol: in window (8.40h UTC), vol=HIGH"
SESSION_BREAKOUT,2026-05-18T13:34:00+00:00,BUY,4577.095,4561.975,4599.15,4561.725,2026-05-18T14:05:00+00:00,SL,-15.37,-30.74,"session_vol: in window (13.57h UTC), vol=HIGH"
SESSION_BREAKOUT,2026-05-19T13:34:00+00:00,SELL,4490.885,4537.7,4421.29,4507.685,2026-05-19T16:34:00+00:00,TIME,-16.8,-33.6,"session_vol: in window (13.57h UTC), vol=NORMAL"
SESSION_BREAKOUT,2026-05-20T14:34:00+00:00,BUY,4511.245,4467.245,4576.62,4530.8,2026-05-20T17:34:00+00:00,TIME,19.555,39.11,"session_vol: in window (14.57h UTC), vol=NORMAL"
SESSION_BREAKOUT,2026-05-21T13:34:00+00:00,SELL,4495.2,4512.81,4469.41,4513.06,2026-05-21T13:53:00+00:00,SL,-17.86,-35.72,"session_vol: in window (13.57h UTC), vol=NORMAL"
SESSION_BREAKOUT,2026-05-22T14:00:00+00:00,SELL,4520.585,4534.495,4500.35,4500.6,2026-05-22T14:13:00+00:00,TP,19.985,39.97,"session_vol: in window (14.00h UTC), vol=NORMAL"
KRONOS_S97_SNAP_SCALPER,2026-05-26T05:49:00+00:00,BUY,4528.2,4523.78,4530.27,4523.53,2026-05-26T05:52:00+00:00,SL,-4.67,-9.34,"quiet_fade: 5.82h UTC, vol=LOW, d1=bearish"
KRONOS_S97_SNAP_SCALPER,2026-05-26T05:53:00+00:00,BUY,4528.2,4523.78,4530.27,4530.02,2026-05-26T06:02:00+00:00,TP,1.82,3.64,"quiet_fade: 5.88h UTC, vol=LOW, d1=bearish"
KRONOS_S97_SNAP_SCALPER,2026-05-26T07:09:00+00:00,BUY,4527.97,4524.65,4529.43,4529.18,2026-05-26T07:11:00+00:00,TP,1.21,2.42,"quiet_fade: 7.15h UTC, vol=LOW, d1=bearish"
KRONOS_S97_SNAP_SCALPER,2026-05-26T07:12:00+00:00,BUY,4527.97,4524.65,4529.43,4529.18,2026-05-26T07:14:00+00:00,TP,1.21,2.42,"quiet_fade: 7.20h UTC, vol=LOW, d1=bearish"
