entry_time,exit_time,strategy,side,outcome,entry_px,exit_px,pnl_pts,pnl_usd
2026-04-13 06:21:00+00:00,2026-04-13 06:28:30+00:00,KRONOS_S100_M3_COMBO,BUY,TP,4728.79,4730.150000000001,1.360000000000582,13.60000000000582
2026-04-13 06:36:00+00:00,2026-04-13 06:38:35+00:00,KRONOS_S100_M3_COMBO,BUY,SL,4728.28,4725.13,-3.149999999999636,-31.499999999996366
2026-04-13 07:12:00+00:00,2026-04-13 07:45:15+00:00,KRONOS_S100_M3_COMBO,BUY,TP,4726.469999999999,4734.05,7.580000000000837,75.80000000000837
2026-04-13 07:19:00+00:00,2026-04-13 07:50:25+00:00,KRONOS_S94_SWEEP_REVERSAL,SELL,SL,4730.780000000001,4739.79,-9.009999999999309,-90.0999999999931
2026-04-13 07:54:00+00:00,2026-04-13 07:55:55+00:00,KRONOS_S100_M3_COMBO,BUY,SL,4735.105,4731.5,-3.6049999999995634,-36.049999999995634
2026-04-13 10:47:00+00:00,2026-04-13 10:51:45+00:00,KRONOS_S99_MSS_FVG,SELL,SL,4721.570000000001,4724.549999999999,-2.979999999998654,-29.799999999986543
2026-04-14 01:05:00+00:00,2026-04-14 01:09:05+00:00,KRONOS_S94_SWEEP_REVERSAL,SELL,SL,4771.935,4776.83,-4.894999999999527,-48.94999999999528
2026-04-14 01:20:00+00:00,2026-04-14 01:33:15+00:00,KRONOS_S100_M3_COMBO,BUY,SL,4773.83,4765.43,-8.399999999999636,-83.99999999999636
2026-04-14 01:50:00+00:00,2026-04-14 01:54:30+00:00,KRONOS_S100_M3_COMBO,BUY,SL,4767.629999999999,4764.6,-3.029999999998836,-30.29999999998836
2026-04-15 00:26:00+00:00,2026-04-15 00:33:35+00:00,KRONOS_S94_SWEEP_REVERSAL,BUY,SL,4829.9349999999995,4828.13,-1.8049999999993815,-18.049999999993815
2026-04-15 01:01:00+00:00,2026-04-15 01:02:05+00:00,KRONOS_S100_M3_COMBO,BUY,SL,4833.9349999999995,4830.64,-3.2949999999991633,-32.94999999999163
2026-04-15 02:08:00+00:00,2026-04-15 02:11:00+00:00,KRONOS_S100_M3_COMBO,BUY,SL,4851.605,4845.85,-5.7549999999992,-57.549999999991996
2026-04-15 02:12:00+00:00,2026-04-15 02:14:50+00:00,KRONOS_S100_M3_COMBO,BUY,SL,4847.849999999999,4845.06,-2.789999999999054,-27.899999999990545
2026-04-15 03:12:00+00:00,2026-04-15 03:16:05+00:00,KRONOS_S100_M3_COMBO,SELL,SL,4822.4400000000005,4824.25,-1.8099999999994907,-18.09999999999491
2026-04-15 01:26:00+00:00,2026-04-15 07:01:35+00:00,KRONOS_S94_SWEEP_REVERSAL,SELL,TP,4849.795,4808.089999999999,41.70500000000084,417.0500000000084
2026-04-16 02:47:00+00:00,2026-04-16 03:01:05+00:00,KRONOS_S100_M3_COMBO,BUY,TP,4816.32,4821.410000000001,5.090000000001055,50.90000000001055
2026-04-16 04:25:00+00:00,2026-04-16 04:37:20+00:00,KRONOS_S94_SWEEP_REVERSAL,SELL,SL,4826.27,4830.99,-4.719999999999345,-47.19999999999345
2026-04-16 04:20:00+00:00,2026-04-16 04:57:50+00:00,KRONOS_S100_M3_COMBO,BUY,TP,4827.839999999999,4832.21,4.3700000000008,43.700000000008004
2026-04-16 06:43:00+00:00,2026-04-16 06:44:55+00:00,KRONOS_S100_M3_COMBO,BUY,TP,4823.16,4824.0,0.8400000000001455,8.400000000001457
2026-04-16 06:47:00+00:00,2026-04-16 07:20:25+00:00,KRONOS_S100_M3_COMBO,BUY,SL,4825.4349999999995,4820.39,-5.044999999999163,-50.44999999999163
2026-04-16 07:32:00+00:00,2026-04-16 07:56:10+00:00,KRONOS_S100_M3_COMBO,BUY,SL,4825.825,4821.290000000001,-4.534999999998945,-45.34999999998946
2026-04-16 08:19:00+00:00,2026-04-16 08:33:25+00:00,KRONOS_S94_SWEEP_REVERSAL,BUY,SL,4811.905,4806.370000000001,-5.534999999998945,-55.34999999998945
2026-04-16 08:41:00+00:00,2026-04-16 08:58:45+00:00,KRONOS_S100_M3_COMBO,SELL,SL,4811.570000000001,4814.75,-3.1799999999993815,-31.799999999993815
2026-04-16 08:11:00+00:00,2026-04-16 10:11:00+00:00,KRONOS_S93_FVG_SCALP,SELL,TIME,4813.6,4811.794999999999,1.8050000000012005,18.050000000012005
2026-04-16 08:11:00+00:00,2026-04-16 11:05:05+00:00,KRONOS_S99_MSS_FVG,SELL,SL,4813.6,4820.929999999999,-7.329999999999018,-73.29999999999018
2026-04-17 01:15:00+00:00,2026-04-17 01:55:25+00:00,KRONOS_S100_M3_COMBO,SELL,SL,4782.910000000001,4788.36,-5.449999999998909,-54.49999999998909
2026-04-17 03:01:00+00:00,2026-04-17 03:03:10+00:00,KRONOS_S100_M3_COMBO,SELL,SL,4786.9400000000005,4789.839999999999,-2.8999999999987267,-28.99999999998727
2026-04-17 03:50:00+00:00,2026-04-17 03:56:30+00:00,KRONOS_S100_M3_COMBO,BUY,SL,4796.23,4793.1,-3.1299999999991996,-31.299999999992
2026-04-17 05:03:00+00:00,2026-04-17 05:06:20+00:00,KRONOS_S100_M3_COMBO,BUY,SL,4802.45,4799.410000000001,-3.039999999999054,-30.399999999990545
2026-04-17 07:19:00+00:00,2026-04-17 07:25:30+00:00,KRONOS_S100_M3_COMBO,SELL,SL,4788.860000000001,4791.86,-2.9999999999990905,-29.999999999990905
