strategy,entry_time,side,entry_px,sl,tp,exit_px,exit_time,outcome,pnl_pts,reason
OB_MIT,2026-04-14 08:01:00+00:00,BUY,4775.66,4772.11,4782.78,4782.78,2026-04-14 08:11:00,TP,7.12,OB_BULL
EQ_HL,2026-04-14 08:11:00+00:00,SELL,4779.84,4783.38,4774.14,4783.38,2026-04-14 08:26:00,SL,-3.54,EQ_SWEEP
FVG_MID,2026-04-14 08:26:00+00:00,BUY,4783.95,4782.66,4786.55,4786.55,2026-04-14 08:29:00,TP,2.6,FVG_MID_BULL
FVG_MID,2026-04-14 08:41:00+00:00,BUY,4785.31,4782.66,4790.62,4782.66,2026-04-14 08:50:00,SL,-2.65,FVG_MID_BULL
FVG_MID,2026-04-14 08:44:00+00:00,BUY,4784.85,4782.66,4789.24,4782.66,2026-04-14 08:50:00,SL,-2.19,FVG_MID_BULL
FVG_MID,2026-04-14 08:47:00+00:00,BUY,4785.51,4782.66,4791.2,4782.66,2026-04-14 08:50:00,SL,-2.85,FVG_MID_BULL
FVG_MID,2026-04-14 08:50:00+00:00,BUY,4782.71,4781.52,4785.09,4785.09,2026-04-14 08:53:00,TP,2.38,FVG_MID_BULL
FVG_MID,2026-04-14 08:53:00+00:00,BUY,4784.18,4781.52,4789.5,4781.52,2026-04-14 09:05:00,SL,-2.66,FVG_MID_BULL
FVG_MID,2026-04-14 08:56:00+00:00,BUY,4783.65,4781.52,4787.91,4787.91,2026-04-14 09:00:00,TP,4.26,FVG_MID_BULL
AC,2026-04-14 09:02:00+00:00,BUY,4785.22,4782.1,4791.46,4782.1,2026-04-14 09:05:00,SL,-3.12,AC_FVG
FVG_MID,2026-04-14 09:02:00+00:00,BUY,4785.22,4782.66,4790.34,4782.66,2026-04-14 09:05:00,SL,-2.56,FVG_MID_BULL
EQ_HL,2026-04-14 09:07:00+00:00,BUY,4782.24,4780.2,4789.51,4780.2,2026-04-14 09:29:00,SL,-2.04,EQ_SWEEP
FVG_MID,2026-04-14 09:08:00+00:00,BUY,4783.11,4781.52,4786.29,4786.29,2026-04-14 09:15:00,TP,3.18,FVG_MID_BULL
AC,2026-04-14 09:11:00+00:00,BUY,4784.89,4781.78,4791.11,4781.78,2026-04-14 09:28:00,SL,-3.11,AC_FVG
FVG_MID,2026-04-14 09:11:00+00:00,BUY,4784.89,4782.66,4789.35,4789.35,2026-04-14 09:21:00,TP,4.46,FVG_MID_BULL
FVG_MID,2026-04-14 09:14:00+00:00,BUY,4785.82,4782.66,4792.14,4782.66,2026-04-14 09:28:00,SL,-3.16,FVG_MID_BULL
FVG_MID,2026-04-14 09:18:00+00:00,BUY,4784.9,4782.66,4789.37,4789.37,2026-04-14 09:21:00,TP,4.47,FVG_MID_BULL
FVG_MID,2026-04-14 09:22:00+00:00,BUY,4785.56,4782.66,4791.37,4782.66,2026-04-14 09:28:00,SL,-2.9,FVG_MID_BULL
FVG_MID,2026-04-14 09:25:00+00:00,BUY,4785.56,4782.66,4791.35,4782.66,2026-04-14 09:28:00,SL,-2.9,FVG_MID_BULL
BB,2026-04-14 09:30:00+00:00,SELL,4776.07,4782.12,4763.98,4782.12,2026-04-14 09:56:00,SL,-6.05,BB_BEAR
OB_MIT,2026-04-14 09:32:00+00:00,BUY,4774.44,4772.11,4779.09,4772.11,2026-04-14 09:33:00,SL,-2.33,OB_BULL
BB,2026-04-14 09:36:00+00:00,SELL,4776.43,4782.12,4765.05,4782.12,2026-04-14 09:56:00,SL,-5.69,BB_BEAR
BB,2026-04-14 09:41:00+00:00,SELL,4776.43,4782.12,4765.05,4782.12,2026-04-14 09:56:00,SL,-5.69,BB_BEAR
BB,2026-04-14 09:46:00+00:00,SELL,4777.74,4782.12,4768.99,4782.12,2026-04-14 09:56:00,SL,-4.38,BB_BEAR
OB_MIT,2026-04-14 09:47:00+00:00,BUY,4775.65,4772.11,4782.73,4782.73,2026-04-14 10:07:00,TP,7.08,OB_BULL
BB,2026-04-14 09:51:00+00:00,SELL,4776.68,4782.12,4765.8,4782.12,2026-04-14 09:56:00,SL,-5.44,BB_BEAR
BB,2026-04-14 09:57:00+00:00,SELL,4781.09,4782.12,4779.03,4779.03,2026-04-14 09:59:00,TP,2.06,BB_BEAR
BB,2026-04-14 10:02:00+00:00,SELL,4779.75,4782.12,4775.01,4782.12,2026-04-14 10:06:00,SL,-2.37,BB_BEAR
EQ_HL,2026-04-14 10:06:00+00:00,SELL,4781.31,4782.87,4779.31,4782.87,2026-04-14 10:07:00,SL,-1.56,EQ_SWEEP
FVG_MID,2026-04-14 10:08:00+00:00,BUY,4782.53,4781.52,4784.56,4784.56,2026-04-14 10:09:00,TP,2.03,FVG_MID_BULL
FVG_MID,2026-04-14 10:11:00+00:00,BUY,4783.52,4781.52,4787.53,4781.52,2026-04-14 10:13:00,SL,-2.0,FVG_MID_BULL
BB,2026-04-14 10:13:00+00:00,SELL,4780.58,4782.12,4777.5,4782.12,2026-04-14 10:14:00,SL,-1.54,BB_BEAR
OB_MIT,2026-04-14 10:15:00+00:00,BUY,4782.2,4780.01,4786.59,4786.59,2026-04-14 10:19:00,TP,4.39,OB_BULL
EQ_HL,2026-04-14 10:15:00+00:00,SELL,4782.2,4782.89,4780.2,4782.89,2026-04-14 10:16:00,SL,-0.69,EQ_SWEEP
FVG_MID,2026-04-14 10:16:00+00:00,BUY,4783.51,4781.52,4787.49,4787.49,2026-04-14 10:20:00,TP,3.98,FVG_MID_BULL
OB_MIT,2026-04-14 10:23:00+00:00,BUY,4784.86,4780.01,4794.57,4780.01,2026-04-14 10:35:00,SL,-4.85,OB_BULL
FVG_MID,2026-04-14 10:24:00+00:00,BUY,4784.35,4781.52,4790.02,4781.52,2026-04-14 10:26:00,SL,-2.83,FVG_MID_BULL
BB,2026-04-14 10:26:00+00:00,SELL,4781.4,4782.12,4779.95,4782.12,2026-04-14 10:28:00,SL,-0.72,BB_BEAR
OB_MIT,2026-04-14 10:28:00+00:00,BUY,4783.34,4780.01,4790.0,4780.01,2026-04-14 10:35:00,SL,-3.33,OB_BULL
FVG_MID,2026-04-14 10:28:00+00:00,BUY,4783.34,4781.52,4786.98,4781.52,2026-04-14 10:35:00,SL,-1.82,FVG_MID_BULL
FVG_MID,2026-04-14 10:31:00+00:00,BUY,4783.94,4781.52,4788.78,4781.52,2026-04-14 10:35:00,SL,-2.42,FVG_MID_BULL
OB_MIT,2026-04-14 10:33:00+00:00,BUY,4784.19,4780.01,4792.55,4780.01,2026-04-14 10:35:00,SL,-4.18,OB_BULL
BB,2026-04-14 10:35:00+00:00,SELL,4776.69,4779.49,4771.08,4771.08,2026-04-14 10:38:00,TP,5.61,BB_BEAR
BB,2026-04-14 10:53:00+00:00,SELL,4772.4,4779.49,4758.22,4779.49,2026-04-14 11:25:00,SL,-7.09,BB_BEAR
OB_MIT,2026-04-14 11:05:00+00:00,BUY,4772.65,4772.11,4773.72,4773.72,2026-04-14 11:06:00,TP,1.07,OB_BULL
BB,2026-04-14 11:05:00+00:00,SELL,4772.65,4779.49,4758.96,4779.49,2026-04-14 11:25:00,SL,-6.84,BB_BEAR
BB,2026-04-14 11:10:00+00:00,SELL,4776.76,4779.49,4771.3,4779.49,2026-04-14 11:25:00,SL,-2.73,BB_BEAR
OB_MIT,2026-04-14 11:11:00+00:00,BUY,4775.72,4772.11,4782.93,4782.93,2026-04-14 11:28:00,TP,7.21,OB_BULL
BB,2026-04-14 11:15:00+00:00,SELL,4777.19,4779.49,4772.59,4779.49,2026-04-14 11:25:00,SL,-2.3,BB_BEAR
