entry_time,direction,entry_price,stop_loss,take_profit,exit_price,exit_time,outcome,pnl_dollars,is_equal,session_date
2026-04-29 10:54:00+00:00,SELL,4566.59,4567.59,4564.85,4564.85,2026-04-29 10:57:00,TP,1.74,False,2026-04-29
2026-04-29 10:57:00+00:00,BUY,4566.31,4565.31,4567.87,4567.87,2026-04-29 10:58:00,TP,1.56,True,2026-04-29
2026-04-29 10:58:00+00:00,SELL,4567.45,4568.45,4565.02,4568.45,2026-04-29 10:59:00,SL,-1.0,False,2026-04-29
2026-04-29 11:00:00+00:00,SELL,4569.33,4570.33,4567.83,4570.33,2026-04-29 11:02:00,SL,-1.0,False,2026-04-29
2026-04-29 11:03:00+00:00,SELL,4570.48,4571.48,4568.98,4568.98,2026-04-29 11:04:00,TP,1.5,True,2026-04-29
2026-04-29 11:10:00+00:00,SELL,4567.47,4568.47,4565.02,4568.47,2026-04-29 11:11:00,SL,-1.0,False,2026-04-29
2026-04-29 11:13:00+00:00,SELL,4569.04,4570.04,4567.54,4567.54,2026-04-29 11:14:00,TP,1.5,True,2026-04-29
2026-04-29 11:18:00+00:00,SELL,4567.48,4568.48,4565.44,4568.48,2026-04-29 11:19:00,SL,-1.0,False,2026-04-29
2026-04-29 11:23:00+00:00,BUY,4565.93,4564.93,4567.43,4567.43,2026-04-29 11:25:00,TP,1.5,True,2026-04-29
2026-04-29 11:29:00+00:00,BUY,4564.97,4563.97,4566.47,4563.97,2026-04-29 11:31:00,SL,-1.0,True,2026-04-29
2026-04-29 11:30:00+00:00,BUY,4564.98,4563.98,4566.48,4563.98,2026-04-29 11:31:00,SL,-1.0,True,2026-04-29
2026-04-29 11:34:00+00:00,BUY,4567.73,4566.73,4569.39,4569.39,2026-04-29 11:35:00,TP,1.66,False,2026-04-29
2026-04-29 11:38:00+00:00,SELL,4570.05,4571.05,4567.27,4567.27,2026-04-29 11:39:00,TP,2.78,True,2026-04-29
2026-04-29 11:42:00+00:00,BUY,4565.23,4564.23,4566.73,4566.73,2026-04-29 11:44:00,TP,1.5,False,2026-04-29
2026-04-29 11:43:00+00:00,BUY,4564.78,4563.78,4566.28,4566.28,2026-04-29 11:44:00,TP,1.5,False,2026-04-29
2026-04-29 12:00:00+00:00,BUY,4562.39,4561.39,4564.77,4564.77,2026-04-29 12:02:00,TP,2.38,False,2026-04-29
2026-04-29 12:02:00+00:00,SELL,4563.96,4564.96,4562.02,4564.96,2026-04-29 12:05:00,SL,-1.0,False,2026-04-29
2026-04-29 12:25:00+00:00,SELL,4561.8,4562.8,4559.25,4562.8,2026-04-29 12:27:00,SL,-1.0,False,2026-04-29
2026-04-29 12:41:00+00:00,SELL,4555.51,4556.51,4554.01,4556.51,2026-04-29 12:42:00,SL,-1.0,False,2026-04-29
2026-04-29 12:44:00+00:00,SELL,4557.62,4558.62,4556.12,4558.62,2026-04-29 12:46:00,SL,-1.0,False,2026-04-29
2026-04-29 13:13:00+00:00,SELL,4549.35,4550.35,4547.85,4550.35,2026-04-29 13:14:00,SL,-1.0,False,2026-04-29
2026-04-29 13:15:00+00:00,SELL,4549.43,4550.43,4547.93,4547.93,2026-04-29 13:17:00,TP,1.5,False,2026-04-29
2026-04-29 13:29:00+00:00,SELL,4537.73,4538.73,4535.1,4538.73,2026-04-29 13:30:00,SL,-1.0,False,2026-04-29
2026-04-29 14:09:00+00:00,SELL,4520.06,4521.06,4517.94,4521.06,2026-04-29 14:10:00,SL,-1.0,False,2026-04-29
2026-04-29 14:13:00+00:00,SELL,4526.02,4527.02,4524.52,4524.52,2026-04-29 14:14:00,TP,1.5,False,2026-04-29
2026-04-29 14:14:00+00:00,SELL,4526.14,4527.14,4524.64,4527.14,2026-04-29 14:15:00,SL,-1.0,False,2026-04-29
2026-04-29 14:15:00+00:00,SELL,4526.28,4527.28,4524.78,4527.28,2026-04-29 14:16:00,SL,-1.0,False,2026-04-29
2026-04-29 14:20:00+00:00,SELL,4533.69,4534.69,4532.19,4534.69,2026-04-29 14:21:00,SL,-1.0,False,2026-04-29
2026-04-29 14:21:00+00:00,SELL,4534.41,4535.41,4532.91,4535.41,2026-04-29 14:22:00,SL,-1.0,False,2026-04-29
2026-04-29 14:22:00+00:00,SELL,4534.28,4535.28,4532.78,4535.28,2026-04-29 14:23:00,SL,-1.0,False,2026-04-29
2026-04-29 14:26:00+00:00,SELL,4534.38,4535.38,4532.88,4535.38,2026-04-29 14:27:00,SL,-1.0,False,2026-04-29
2026-04-29 14:29:00+00:00,SELL,4533.41,4534.41,4530.91,4534.41,2026-04-29 14:31:00,SL,-1.0,False,2026-04-29
2026-04-29 14:53:00+00:00,BUY,4534.69,4533.69,4536.23,4536.23,2026-04-29 14:54:00,TP,1.54,False,2026-04-29
2026-04-29 15:15:00+00:00,BUY,4537.91,4536.91,4540.66,4540.66,2026-04-29 15:16:00,TP,2.75,True,2026-04-29
2026-04-30 07:24:00+00:00,BUY,4588.06,4587.06,4589.56,4587.06,2026-04-30 07:25:00,SL,-1.0,False,2026-04-30
2026-04-30 07:25:00+00:00,BUY,4587.86,4586.86,4589.36,4589.36,2026-04-30 07:26:00,TP,1.5,False,2026-04-30
2026-04-30 08:16:00+00:00,BUY,4618.77,4617.77,4620.49,4620.49,2026-04-30 08:17:00,TP,1.72,False,2026-04-30
2026-04-30 08:37:00+00:00,BUY,4615.4,4614.4,4616.9,4616.9,2026-04-30 08:38:00,TP,1.5,False,2026-04-30
2026-04-30 08:40:00+00:00,BUY,4615.78,4614.78,4617.28,4614.78,2026-04-30 08:41:00,SL,-1.0,False,2026-04-30
2026-04-30 08:42:00+00:00,BUY,4614.82,4613.82,4616.32,4613.82,2026-04-30 08:44:00,SL,-1.0,False,2026-04-30
2026-04-30 08:44:00+00:00,BUY,4615.06,4614.06,4616.56,4616.56,2026-04-30 08:46:00,TP,1.5,True,2026-04-30
2026-04-30 08:47:00+00:00,BUY,4617.6,4616.6,4619.61,4616.6,2026-04-30 08:48:00,SL,-1.0,False,2026-04-30
2026-04-30 08:55:00+00:00,BUY,4616.73,4615.73,4618.64,4615.73,2026-04-30 09:02:00,SL,-1.0,False,2026-04-30
2026-04-30 08:56:00+00:00,BUY,4617.07,4616.07,4618.64,4616.07,2026-04-30 08:57:00,SL,-1.0,False,2026-04-30
2026-04-30 09:17:00+00:00,SELL,4617.37,4618.37,4615.6,4615.6,2026-04-30 09:22:00,TP,1.77,True,2026-04-30
2026-04-30 09:39:00+00:00,BUY,4624.21,4623.21,4626.49,4623.21,2026-04-30 09:40:00,SL,-1.0,False,2026-04-30
2026-04-30 10:03:00+00:00,SELL,4625.51,4626.51,4623.57,4626.51,2026-04-30 10:05:00,SL,-1.0,False,2026-04-30
2026-04-30 11:16:00+00:00,SELL,4636.69,4637.69,4634.27,4634.27,2026-04-30 11:17:00,TP,2.42,True,2026-04-30
2026-04-30 11:21:00+00:00,BUY,4638.57,4637.57,4641.19,4641.19,2026-04-30 11:22:00,TP,2.62,False,2026-04-30
2026-04-30 11:23:00+00:00,SELL,4640.62,4641.62,4638.68,4638.68,2026-04-30 11:24:00,TP,1.94,False,2026-04-30
2026-04-30 11:49:00+00:00,BUY,4635.03,4634.03,4636.53,4634.03,2026-04-30 11:50:00,SL,-1.0,False,2026-04-30
2026-04-30 12:09:00+00:00,SELL,4631.37,4632.37,4628.85,4632.37,2026-04-30 12:10:00,SL,-1.0,False,2026-04-30
2026-04-30 12:12:00+00:00,SELL,4634.8,4635.8,4633.3,4635.8,2026-04-30 12:14:00,SL,-1.0,False,2026-04-30
