strategy,entry_time,side,entry_px,sl,tp,exit_px,exit_time,outcome,pnl_pts,reason
M90_FADE,2026-05-07 10:41:00+00:00,SELL,4737.52,4738.76,4732.68,4738.76,2026-05-07 10:44:00,SL,-1.24,M90_FADE_UP
BB,2026-05-07 10:43:00+00:00,SELL,4738.0,4741.61,4730.78,4730.78,2026-05-07 11:12:00,TP,7.22,BB_BEAR
M90_FADE,2026-05-07 10:46:00+00:00,SELL,4738.14,4740.14,4732.68,4732.68,2026-05-07 11:09:00,TP,5.46,M90_FADE_UP
BB,2026-05-07 10:48:00+00:00,SELL,4736.71,4741.61,4726.91,4741.61,2026-05-07 11:56:00,SL,-4.9,BB_BEAR
M90_FADE,2026-05-07 10:51:00+00:00,SELL,4736.77,4740.14,4732.68,4732.68,2026-05-07 11:09:00,TP,4.09,M90_FADE_UP
BB,2026-05-07 10:54:00+00:00,SELL,4737.15,4741.61,4728.24,4728.24,2026-05-07 11:16:00,TP,8.91,BB_BEAR
M90_FADE,2026-05-07 10:56:00+00:00,SELL,4737.63,4740.14,4732.68,4732.68,2026-05-07 11:09:00,TP,4.95,M90_FADE_UP
BB,2026-05-07 11:02:00+00:00,SELL,4736.85,4741.61,4727.34,4727.34,2026-05-07 11:17:00,TP,9.51,BB_BEAR
FVG_MID,2026-05-07 11:03:00+00:00,BUY,4735.3,4732.39,4741.12,4732.39,2026-05-07 11:09:00,SL,-2.91,FVG_MID_BULL
FVG_MID,2026-05-07 11:06:00+00:00,BUY,4733.76,4732.39,4736.5,4732.39,2026-05-07 11:09:00,SL,-1.37,FVG_MID_BULL
FVG_MID,2026-05-07 11:09:00+00:00,BUY,4733.8,4732.39,4736.62,4732.39,2026-05-07 11:12:00,SL,-1.41,FVG_MID_BULL
OB_MIT,2026-05-07 11:11:00+00:00,BUY,4732.65,4727.76,4742.44,4727.76,2026-05-07 11:17:00,SL,-4.89,OB_BULL
BB,2026-05-07 11:15:00+00:00,SELL,4730.38,4732.99,4725.15,4732.99,2026-05-07 11:24:00,SL,-2.61,BB_BEAR
OB_MIT_BIAS,2026-05-07 11:15:00+00:00,BUY,4730.38,4727.76,4735.6,4727.76,2026-05-07 11:17:00,SL,-2.62,OB_BIAS_BUY
OB_MIT,2026-05-07 11:16:00+00:00,BUY,4728.27,4727.76,4729.28,4727.76,2026-05-07 11:17:00,SL,-0.51,OB_BULL
INDUCEMENT,2026-05-07 11:19:00+00:00,BUY,4730.36,4727.76,4735.57,4735.57,2026-05-07 11:25:00,TP,5.21,INDU_KEY_SSL
OB_MIT_BIAS,2026-05-07 11:20:00+00:00,BUY,4729.81,4727.76,4733.92,4733.92,2026-05-07 11:24:00,TP,4.11,OB_BIAS_BUY
OB_MIT,2026-05-07 11:21:00+00:00,BUY,4728.98,4727.76,4731.41,4731.41,2026-05-07 11:23:00,TP,2.43,OB_BULL
BB,2026-05-07 11:22:00+00:00,SELL,4730.44,4732.99,4725.34,4732.99,2026-05-07 11:24:00,SL,-2.55,BB_BEAR
FVG_MID,2026-05-07 11:23:00+00:00,BUY,4732.28,4731.68,4733.49,4733.49,2026-05-07 11:24:00,TP,1.21,FVG_MID_BULL
EQ_HL,2026-05-07 11:26:00+00:00,BUY,4736.18,4734.57,4738.18,4734.57,2026-05-07 11:27:00,SL,-1.61,EQ_SWEEP
OB_MIT,2026-05-07 11:28:00+00:00,BUY,4731.48,4727.76,4738.93,4738.93,2026-05-07 11:48:00,TP,7.45,OB_BULL
BB,2026-05-07 11:28:00+00:00,SELL,4731.48,4732.99,4728.47,4732.99,2026-05-07 11:30:00,SL,-1.51,BB_BEAR
OB_MIT_BIAS,2026-05-07 11:28:00+00:00,BUY,4731.48,4727.76,4738.93,4738.93,2026-05-07 11:48:00,TP,7.45,OB_BIAS_BUY
FVG_MID,2026-05-07 11:29:00+00:00,SELL,4732.84,4733.39,4731.74,4733.39,2026-05-07 11:30:00,SL,-0.55,FVG_MID_BEAR
FVG_MID,2026-05-07 11:32:00+00:00,BUY,4734.01,4732.39,4737.25,4737.25,2026-05-07 11:44:00,TP,3.24,FVG_MID_BULL
FVG_MID,2026-05-07 11:35:00+00:00,BUY,4735.06,4732.39,4740.39,4740.39,2026-05-07 11:55:00,TP,5.33,FVG_MID_BULL
FVG_MID,2026-05-07 11:39:00+00:00,BUY,4735.41,4732.39,4741.45,4741.45,2026-05-07 11:56:00,TP,6.04,FVG_MID_BULL
OB_MIT,2026-05-07 11:40:00+00:00,SELL,4735.85,4740.06,4727.44,4740.06,2026-05-07 11:55:00,SL,-4.21,OB_BEAR
FVG_MID,2026-05-07 11:42:00+00:00,BUY,4734.95,4732.39,4740.08,4740.08,2026-05-07 11:55:00,TP,5.13,FVG_MID_BULL
BB,2026-05-07 11:43:00+00:00,SELL,4736.53,4741.61,4726.39,4741.61,2026-05-07 11:56:00,SL,-5.08,BB_BEAR
OB_MIT,2026-05-07 11:46:00+00:00,SELL,4737.2,4740.06,4731.48,4740.06,2026-05-07 11:55:00,SL,-2.86,OB_BEAR
BB,2026-05-07 11:48:00+00:00,SELL,4738.3,4741.61,4731.68,4741.61,2026-05-07 11:56:00,SL,-3.31,BB_BEAR
FVG_MID,2026-05-07 11:50:00+00:00,SELL,4734.35,4735.15,4732.76,4735.15,2026-05-07 11:51:00,SL,-0.8,FVG_MID_BEAR
