variation,entry_time,direction,entry_price,stop_loss,take_profit,exit_price,exit_time,outcome,pnl_points,tp_mode,pool_type,is_equal_pool
VAR1,2026-04-23 20:35:00+00:00,BUY,4690.44,4687.34,4700.07,4687.34,2026-04-23 23:15:00,SL,-3.1,DYNAMIC_POOL,SSL,False
VAR1,2026-04-23 20:50:00+00:00,BUY,4690.75,4687.65,4700.07,4687.65,2026-04-23 23:15:00,SL,-3.1,DYNAMIC_POOL,SSL,False
VAR1,2026-04-23 22:20:00+00:00,BUY,4694.44,4691.24,4698.44,4691.24,2026-04-23 22:40:00,SL,-3.2,FIXED,SSL,True
VAR1,2026-04-23 22:30:00+00:00,SELL,4693.61,4696.52,4689.61,4696.52,2026-04-23 22:35:00,SL,-2.91,FIXED,BSL,True
VAR1,2026-04-23 22:35:00+00:00,SELL,4692.03,4697.87,4688.03,4688.03,2026-04-23 23:15:00,TP,4.01,FIXED,BSL,True
VAR1,2026-04-23 23:00:00+00:00,SELL,4694.22,4696.76,4690.22,4690.22,2026-04-23 23:10:00,TP,4.0,FIXED,BSL,False
VAR1,2026-04-23 23:45:00+00:00,SELL,4696.73,4700.6,4694.24,4694.24,2026-04-23 23:55:00,TP,2.49,DYNAMIC_POOL,BSL,False
VAR1,2026-04-24 02:15:00+00:00,BUY,4692.05,4689.01,4700.78,4689.01,2026-04-24 02:20:00,SL,-3.04,DYNAMIC_POOL,SSL,False
VAR1,2026-04-24 04:00:00+00:00,BUY,4671.07,4666.46,4678.26,4666.46,2026-04-24 04:20:00,SL,-4.61,DYNAMIC_POOL,SSL,False
VAR1,2026-04-24 04:55:00+00:00,SELL,4674.48,4676.77,4668.68,4676.77,2026-04-24 05:00:00,SL,-2.29,DYNAMIC_POOL,BSL,False
VAR1,2026-04-24 05:00:00+00:00,SELL,4673.64,4677.96,4668.68,4677.96,2026-04-24 05:25:00,SL,-4.32,DYNAMIC_POOL,BSL,False
VAR1,2026-04-24 05:25:00+00:00,SELL,4676.64,4679.66,4669.76,4679.66,2026-04-24 05:30:00,SL,-3.02,DYNAMIC_POOL,BSL,False
VAR1,2026-04-24 08:05:00+00:00,SELL,4688.23,4691.15,4684.23,4691.15,2026-04-24 08:15:00,SL,-2.92,FIXED,BSL,False
VAR1,2026-04-24 08:10:00+00:00,SELL,4687.69,4691.15,4683.69,4691.15,2026-04-24 08:15:00,SL,-3.46,FIXED,BSL,False
VAR1,2026-04-24 08:20:00+00:00,SELL,4692.38,4698.55,4686.43,4686.43,2026-04-24 08:30:00,TP,5.95,DYNAMIC_POOL,BSL,False
VAR1,2026-04-24 08:40:00+00:00,SELL,4688.21,4691.38,4686.43,4691.38,2026-04-24 08:45:00,SL,-3.17,DYNAMIC_POOL,BSL,False
VAR1,2026-04-24 09:15:00+00:00,SELL,4694.73,4697.76,4686.43,4686.43,2026-04-24 09:20:00,TP,8.3,DYNAMIC_POOL,BSL,False
VAR1,2026-04-24 12:15:00+00:00,BUY,4706.35,4700.7,4717.44,4700.7,2026-04-24 12:40:00,SL,-5.65,DYNAMIC_POOL,SSL,False
VAR1,2026-04-24 13:15:00+00:00,BUY,4702.52,4698.85,4712.02,4698.85,2026-04-24 13:20:00,SL,-3.66,DYNAMIC_POOL,SSL,False
VAR1,2026-04-24 15:15:00+00:00,BUY,4721.64,4718.76,4732.94,4718.76,2026-04-24 15:25:00,SL,-2.88,DYNAMIC_POOL,SSL,False
VAR1,2026-04-24 15:20:00+00:00,BUY,4721.69,4719.81,4732.94,4719.81,2026-04-24 15:25:00,SL,-1.88,DYNAMIC_POOL,SSL,False
VAR1,2026-04-24 15:25:00+00:00,BUY,4721.98,4717.53,4732.94,4717.53,2026-04-24 15:35:00,SL,-4.45,DYNAMIC_POOL,SSL,False
VAR1,2026-04-24 15:35:00+00:00,BUY,4719.05,4716.41,4726.44,4716.41,2026-04-24 15:40:00,SL,-2.64,DYNAMIC_POOL,SSL,False
VAR1,2026-04-24 16:00:00+00:00,SELL,4725.76,4730.76,4721.53,4721.53,2026-04-24 16:05:00,TP,4.23,DYNAMIC_POOL,BSL,False
VAR1,2026-04-24 18:35:00+00:00,BUY,4720.06,4717.76,4727.32,4717.76,2026-04-24 19:20:00,SL,-2.3,DYNAMIC_POOL,SSL,True
VAR1,2026-04-26 22:50:00+00:00,BUY,4684.35,4680.81,4688.35,4680.81,2026-04-26 23:00:00,SL,-3.53,FIXED,SSL,False
VAR1,2026-04-26 23:50:00+00:00,BUY,4681.28,4678.23,4685.28,4678.23,2026-04-27 00:00:00,SL,-3.05,FIXED,SSL,False
VAR1,2026-04-27 00:00:00+00:00,BUY,4678.9,4674.18,4682.53,4674.18,2026-04-27 00:05:00,SL,-4.72,DYNAMIC_POOL,SSL,False
VAR1,2026-04-27 04:30:00+00:00,SELL,4727.16,4730.97,4714.53,4714.53,2026-04-27 05:30:00,TP,12.63,DYNAMIC_POOL,BSL,False
VAR1,2026-04-27 06:25:00+00:00,BUY,4714.67,4711.61,4715.9,4711.61,2026-04-27 06:30:00,SL,-3.06,DYNAMIC_POOL,SSL,False
VAR1,2026-04-27 07:10:00+00:00,BUY,4717.15,4713.26,4729.63,4713.26,2026-04-27 07:15:00,SL,-3.89,DYNAMIC_POOL,SSL,False
VAR1,2026-04-27 07:30:00+00:00,BUY,4716.72,4712.84,4729.63,4712.84,2026-04-27 07:50:00,SL,-3.88,DYNAMIC_POOL,SSL,False
VAR1,2026-04-27 07:35:00+00:00,BUY,4716.08,4712.65,4718.46,4712.65,2026-04-27 07:50:00,SL,-3.43,DYNAMIC_POOL,SSL,False
VAR1,2026-04-27 07:45:00+00:00,SELL,4714.42,4717.83,4709.44,4709.44,2026-04-27 08:30:00,TP,4.98,DYNAMIC_POOL,BSL,False
VAR1,2026-04-27 08:20:00+00:00,BUY,4711.27,4708.51,4715.9,4708.51,2026-04-27 08:30:00,SL,-2.76,DYNAMIC_POOL,SSL,False
VAR1,2026-04-27 08:25:00+00:00,BUY,4710.87,4708.53,4715.9,4708.53,2026-04-27 08:30:00,SL,-2.34,DYNAMIC_POOL,SSL,False
VAR1,2026-04-27 08:30:00+00:00,BUY,4709.82,4706.1,4715.9,4706.1,2026-04-27 08:40:00,SL,-3.72,DYNAMIC_POOL,SSL,True
VAR1,2026-04-27 09:00:00+00:00,BUY,4706.6,4704.56,4714.94,4704.56,2026-04-27 09:05:00,SL,-2.03,DYNAMIC_POOL,SSL,False
VAR1,2026-04-27 11:30:00+00:00,SELL,4705.58,4709.77,4699.68,4709.77,2026-04-27 12:15:00,SL,-4.19,DYNAMIC_POOL,BSL,True
VAR1,2026-04-27 12:25:00+00:00,SELL,4707.27,4710.87,4700.35,4700.35,2026-04-27 12:40:00,TP,6.92,DYNAMIC_POOL,BSL,False
VAR1,2026-04-27 19:05:00+00:00,BUY,4679.66,4678.06,4685.59,4678.06,2026-04-27 19:35:00,SL,-1.6,DYNAMIC_POOL,SSL,False
VAR1,2026-04-27 20:05:00+00:00,BUY,4679.2,4676.55,4682.77,4682.77,2026-04-27 22:05:00,TP,3.57,DYNAMIC_POOL,SSL,True
VAR1,2026-04-27 20:10:00+00:00,BUY,4679.23,4677.8,4682.77,4682.77,2026-04-27 22:05:00,TP,3.54,DYNAMIC_POOL,SSL,True
VAR1,2026-04-27 23:20:00+00:00,SELL,4690.93,4692.42,4686.22,4692.42,2026-04-27 23:35:00,SL,-1.49,DYNAMIC_POOL,BSL,False
VAR1,2026-04-27 23:25:00+00:00,SELL,4691.01,4692.8,4686.22,4692.8,2026-04-27 23:35:00,SL,-1.79,DYNAMIC_POOL,BSL,False
VAR1,2026-04-28 01:00:00+00:00,BUY,4689.6,4683.82,4691.32,4691.32,2026-04-28 01:40:00,TP,1.72,DYNAMIC_POOL,SSL,False
VAR1,2026-04-28 06:50:00+00:00,BUY,4626.53,4622.55,4630.53,4630.53,2026-04-28 06:55:00,TP,4.0,FIXED,SSL,True
VAR1,2026-04-28 07:10:00+00:00,SELL,4634.33,4637.48,4624.08,4624.08,2026-04-28 07:50:00,TP,10.25,DYNAMIC_POOL,BSL,False
VAR1,2026-04-28 12:55:00+00:00,SELL,4593.94,4601.22,4589.94,4589.94,2026-04-28 13:00:00,TP,4.0,FIXED,BSL,False
VAR1,2026-04-28 14:15:00+00:00,BUY,4571.44,4562.76,4575.44,4575.44,2026-04-28 14:30:00,TP,3.99,FIXED,SSL,True
