created_at,action,reason,strategy_name
2026-07-14 02:00:06.948991+00:00,PAUSE,trend: session_vol: outside windows (2.00h UTC) | d1=ranging h4=short vol=NORMAL trend=MIXED session=ASIA closed=False,
2026-07-14 13:00:07.042020+00:00,START,"trend: session_vol: in window (13.00h UTC), vol=NORMAL | d1=ranging h4=short vol=NORMAL trend=MIXED session=OVERLAP closed=False",
2026-07-14 15:00:07.061661+00:00,PAUSE,trend: session_vol: outside windows (15.00h UTC) | d1=ranging h4=short vol=NORMAL trend=MIXED session=OVERLAP closed=False,
2026-07-14 21:00:06.915279+00:00,PAUSE,trend: market closed | d1=ranging h4=neutral vol=NORMAL trend=MIXED session=ROLLOVER closed=True,Challenge XAU H4 Trend
2026-07-14 21:00:06.921735+00:00,PAUSE,reversal: market closed | d1=ranging h4=neutral vol=NORMAL trend=MIXED session=ROLLOVER closed=True,S99 MSS FVG Reversal
2026-07-14 21:00:06.926258+00:00,PAUSE,scalping: market closed | d1=ranging h4=neutral vol=NORMAL trend=MIXED session=ROLLOVER closed=True,S93 FVG Scalp
2026-07-14 21:00:06.934506+00:00,PAUSE,trend: market closed | d1=ranging h4=neutral vol=NORMAL trend=MIXED session=ROLLOVER closed=True,S94 Sweep Reversal
2026-07-14 22:00:07.175806+00:00,START,trend: always_on: regime-independent | d1=ranging h4=neutral vol=NORMAL trend=MIXED session=ROLLOVER closed=False,S94 Sweep Reversal
2026-07-14 22:00:07.180440+00:00,START,trend: always_on: regime-independent | d1=ranging h4=neutral vol=NORMAL trend=MIXED session=ROLLOVER closed=False,Challenge XAU H4 Trend
2026-07-14 22:00:07.185172+00:00,START,reversal: always_on: regime-independent | d1=ranging h4=neutral vol=NORMAL trend=MIXED session=ROLLOVER closed=False,S99 MSS FVG Reversal
2026-07-14 22:00:07.189383+00:00,START,scalping: always_on: regime-independent | d1=ranging h4=neutral vol=NORMAL trend=MIXED session=ROLLOVER closed=False,S93 FVG Scalp
2026-07-15 01:00:06.650715+00:00,START,"trend: session_vol: in window (1.00h UTC), vol=NORMAL | d1=ranging h4=neutral vol=NORMAL trend=MIXED session=ASIA closed=False",
2026-07-15 02:00:07.306786+00:00,PAUSE,trend: session_vol: outside windows (2.00h UTC) | d1=ranging h4=neutral vol=NORMAL trend=MIXED session=ASIA closed=False,
2026-07-15 21:00:07.628554+00:00,PAUSE,trend: market closed | d1=ranging h4=neutral vol=NORMAL trend=RANGING session=ROLLOVER closed=True,S94 Sweep Reversal
2026-07-15 21:00:07.635534+00:00,PAUSE,trend: market closed | d1=ranging h4=neutral vol=NORMAL trend=RANGING session=ROLLOVER closed=True,Challenge XAU H4 Trend
2026-07-15 21:00:07.642139+00:00,PAUSE,reversal: market closed | d1=ranging h4=neutral vol=NORMAL trend=RANGING session=ROLLOVER closed=True,S99 MSS FVG Reversal
2026-07-15 21:00:07.647385+00:00,PAUSE,scalping: market closed | d1=ranging h4=neutral vol=NORMAL trend=RANGING session=ROLLOVER closed=True,S93 FVG Scalp
2026-07-15 22:00:07.885340+00:00,START,trend: always_on: regime-independent | d1=ranging h4=neutral vol=NORMAL trend=RANGING session=ROLLOVER closed=False,S94 Sweep Reversal
2026-07-15 22:00:07.890812+00:00,START,trend: always_on: regime-independent | d1=ranging h4=neutral vol=NORMAL trend=RANGING session=ROLLOVER closed=False,Challenge XAU H4 Trend
2026-07-15 22:00:07.896344+00:00,START,reversal: always_on: regime-independent | d1=ranging h4=neutral vol=NORMAL trend=RANGING session=ROLLOVER closed=False,S99 MSS FVG Reversal
2026-07-15 22:00:07.902854+00:00,START,scalping: always_on: regime-independent | d1=ranging h4=neutral vol=NORMAL trend=RANGING session=ROLLOVER closed=False,S93 FVG Scalp
2026-07-16 01:00:07.321620+00:00,START,"trend: session_vol: in window (1.00h UTC), vol=NORMAL | d1=ranging h4=neutral vol=NORMAL trend=RANGING session=ASIA closed=False",
2026-07-16 02:00:08.327489+00:00,PAUSE,trend: session_vol: outside windows (2.00h UTC) | d1=ranging h4=neutral vol=NORMAL trend=RANGING session=ASIA closed=False,
2026-07-16 14:00:08.498421+00:00,START,"trend: session_vol: in window (14.00h UTC), vol=NORMAL | d1=ranging h4=neutral vol=NORMAL trend=MIXED session=OVERLAP closed=False",
2026-07-16 15:00:07.786589+00:00,PAUSE,trend: session_vol: outside windows (15.00h UTC) | d1=ranging h4=neutral vol=NORMAL trend=MIXED session=OVERLAP closed=False,
2026-07-16 21:00:08.110776+00:00,PAUSE,trend: market closed | d1=ranging h4=neutral vol=NORMAL trend=MIXED session=ROLLOVER closed=True,S94 Sweep Reversal
2026-07-16 21:00:08.133820+00:00,PAUSE,trend: market closed | d1=ranging h4=neutral vol=NORMAL trend=MIXED session=ROLLOVER closed=True,Challenge XAU H4 Trend
2026-07-16 21:00:08.159867+00:00,PAUSE,reversal: market closed | d1=ranging h4=neutral vol=NORMAL trend=MIXED session=ROLLOVER closed=True,S99 MSS FVG Reversal
2026-07-16 21:00:08.174493+00:00,PAUSE,scalping: market closed | d1=ranging h4=neutral vol=NORMAL trend=MIXED session=ROLLOVER closed=True,S93 FVG Scalp
2026-07-17 00:00:07.787037+00:00,START,trend: always_on: regime-independent | d1=ranging h4=neutral vol=NORMAL trend=MIXED session=ASIA closed=False,S94 Sweep Reversal
2026-07-17 00:00:07.804126+00:00,START,trend: always_on: regime-independent | d1=ranging h4=neutral vol=NORMAL trend=MIXED session=ASIA closed=False,Challenge XAU H4 Trend
2026-07-17 00:00:07.819752+00:00,START,reversal: always_on: regime-independent | d1=ranging h4=neutral vol=NORMAL trend=MIXED session=ASIA closed=False,S99 MSS FVG Reversal
2026-07-17 00:00:07.845176+00:00,START,scalping: always_on: regime-independent | d1=ranging h4=neutral vol=NORMAL trend=MIXED session=ASIA closed=False,S93 FVG Scalp
2026-07-17 01:00:08.221628+00:00,START,"trend: session_vol: in window (1.00h UTC), vol=NORMAL | d1=ranging h4=neutral vol=NORMAL trend=MIXED session=ASIA closed=False",
2026-07-17 02:00:07.265934+00:00,PAUSE,trend: session_vol: outside windows (2.00h UTC) | d1=ranging h4=neutral vol=NORMAL trend=MIXED session=ASIA closed=False,
2026-07-17 14:00:08.053434+00:00,START,"trend: session_vol: in window (14.00h UTC), vol=NORMAL | d1=ranging h4=short vol=NORMAL trend=RANGING session=OVERLAP closed=False",
2026-07-17 15:00:08.110466+00:00,PAUSE,trend: session_vol: outside windows (15.00h UTC) | d1=ranging h4=short vol=NORMAL trend=RANGING session=OVERLAP closed=False,
2026-07-17 21:00:07.922825+00:00,PAUSE,trend: market closed | d1=ranging h4=short vol=LOW trend=MIXED session=ROLLOVER closed=True,S94 Sweep Reversal
