label,strategy,model,cost,n,pts,pf,wr,train_n,train_pts,train_pf,test_n,test_pts,test_pf,maxdd,test_months,test_pos_share,test_max_share,gold_corr,up_pts,dn_pts,bar1_n,bar2_base,bar3_train,bar4_monthly,bar5_regime,n_outside_s5
s99_mingap0.5_c0.75,s99_mss_fvg,quote_S5,0.7,1267,-1256.5,0.744,37.3,717,-430.4,0.779,550,-826.1,0.72,-1314.0,10,0.2,,0.33,-562.2,-694.3,True,False,False,False,True,0.0
s99_mingap1.0_c0.75,s99_mss_fvg,mid_M1,0.75,405,-146.8,0.93,40.7,227,35.0,1.046,178,-181.9,0.864,-286.0,10,0.4,,0.36,102.3,-249.2,True,False,True,False,True,
s99_mingap1.0_c0.75,s99_mss_fvg,mid_M1,1.0,405,-248.1,0.885,40.5,227,-21.7,0.972,178,-226.4,0.835,-322.3,10,0.4,,0.36,33.1,-281.2,True,False,True,False,True,
s99_mingap1.0_c0.75,s99_mss_fvg,quote_S5,0.45,405,-203.5,0.903,37.8,227,35.5,1.048,178,-239.0,0.824,-360.0,10,0.4,,0.31,60.5,-264.0,True,False,True,False,True,0.0
s99_mingap1.0_c0.75,s99_mss_fvg,quote_S5,0.7,405,-304.8,0.859,37.8,227,-21.3,0.973,178,-283.5,0.795,-386.7,10,0.4,,0.31,-8.7,-296.0,True,False,True,False,True,0.0
s99_nolondon_c0.75,s99_mss_fvg,mid_M1,0.75,1003,-391.3,0.878,43.9,519,-105.1,0.912,484,-286.2,0.857,-475.7,10,0.4,,0.31,-106.9,-284.4,True,False,True,False,True,
s99_nolondon_c0.75,s99_mss_fvg,mid_M1,1.0,1003,-642.0,0.808,43.9,519,-234.8,0.815,484,-407.2,0.804,-693.7,10,0.3,,0.31,-277.1,-364.9,True,False,False,False,True,
s99_nolondon_c0.75,s99_mss_fvg,quote_S5,0.45,1003,-427.7,0.866,40.1,519,-122.1,0.897,484,-305.6,0.847,-495.2,10,0.3,,0.26,-132.2,-295.5,True,False,False,False,True,0.0
s99_nolondon_c0.75,s99_mss_fvg,quote_S5,0.7,1003,-678.5,0.796,40.1,519,-251.8,0.801,484,-426.6,0.794,-726.7,10,0.3,,0.26,-302.4,-376.0,True,False,False,False,True,0.0
s99_nony_c0.75,s99_mss_fvg,mid_M1,0.75,1044,-674.2,0.774,40.6,475,-335.6,0.689,569,-338.6,0.822,-738.1,10,0.5,,0.29,-338.0,-336.2,True,False,False,False,True,
s99_nony_c0.75,s99_mss_fvg,mid_M1,1.0,1044,-935.2,0.702,40.5,475,-454.3,0.606,569,-480.9,0.758,-958.4,10,0.4,,0.3,-510.8,-424.5,True,False,False,False,True,
s99_nony_c0.75,s99_mss_fvg,quote_S5,0.45,1044,-720.3,0.757,36.4,475,-301.7,0.711,569,-418.6,0.782,-775.5,10,0.4,,0.3,-356.0,-364.2,True,False,False,False,True,0.0
s99_nony_c0.75,s99_mss_fvg,quote_S5,0.7,1044,-981.3,0.686,36.4,475,-420.4,0.625,569,-560.8,0.72,-1008.4,10,0.4,,0.31,-528.8,-452.5,True,False,False,False,True,0.0
s99_retrace12_c0.75,s99_mss_fvg,mid_M1,0.75,1857,-948.1,0.832,42.2,900,-368.6,0.823,957,-579.5,0.837,-1011.1,10,0.1,,0.36,-396.5,-551.6,True,False,False,False,True,
s99_retrace12_c0.75,s99_mss_fvg,mid_M1,1.0,1857,-1412.4,0.761,42.1,900,-593.6,0.732,957,-818.8,0.778,-1450.5,10,0.1,,0.36,-706.8,-705.6,True,False,False,False,True,
s99_retrace12_c0.75,s99_mss_fvg,quote_S5,0.45,1857,-1014.7,0.819,38.2,900,-353.9,0.826,957,-660.8,0.814,-1083.6,10,0.3,,0.29,-450.2,-564.5,True,False,False,False,True,0.0
s99_retrace12_c0.75,s99_mss_fvg,quote_S5,0.7,1857,-1479.0,0.749,38.2,900,-578.9,0.734,957,-900.1,0.757,-1521.8,10,0.1,,0.29,-760.4,-718.5,True,False,False,False,True,0.0
s99_retrace48_c0.75,s99_mss_fvg,mid_M1,0.75,1873,-951.8,0.832,42.1,910,-396.2,0.812,963,-555.6,0.844,-1038.1,10,0.2,,0.34,-421.3,-530.5,True,False,False,False,True,
s99_retrace48_c0.75,s99_mss_fvg,mid_M1,1.0,1873,-1420.1,0.761,42.0,910,-623.7,0.722,963,-796.4,0.785,-1481.6,10,0.1,,0.34,-734.3,-685.8,True,False,False,False,True,
s99_retrace48_c0.75,s99_mss_fvg,quote_S5,0.45,1873,-1012.2,0.82,38.1,910,-377.2,0.817,963,-635.1,0.822,-1104.5,10,0.4,,0.27,-470.3,-541.9,True,False,False,False,True,0.0
s99_retrace48_c0.75,s99_mss_fvg,quote_S5,0.7,1873,-1480.5,0.75,38.1,910,-604.7,0.726,963,-875.8,0.764,-1546.7,10,0.2,,0.28,-783.3,-697.2,True,False,False,False,True,0.0
s99_sell_c0.75,s99_mss_fvg,mid_M1,0.75,900,-451.4,0.843,41.8,429,-153.0,0.854,471,-298.4,0.838,-595.5,10,0.5,,0.26,-138.6,-312.8,True,False,False,False,True,
