subset,gate,model,cost,split,n_aligned,n_against,dR_demeaned,p_flip,dR_lo,dR_hi,dR_in_c2_aligned,p_in_c2_aligned,dR_in_c2_against,p_in_c2_against
survivors,B2,q,0.45,ALL,2646,4963,0.0188,0.625,-0.079,0.0771,-0.0575,0.287,0.1081,0.06
survivors,B3,q,0.45,ALL,5816,1792,-0.0893,0.026,-0.0786,0.0773,-0.0273,0.608,-0.1591,0.009
survivors,B4,q,0.45,ALL,3528,3420,0.1147,0.005,-0.083,0.0784,0.2118,0.0,0.0042,0.952
survivors,B5,q,0.45,ALL,3882,3727,0.0133,0.727,-0.0782,0.0785,0.0303,0.609,-0.1208,0.034
survivors,B6,q,0.45,ALL,2751,4303,0.0015,0.975,-0.0787,0.0808,0.0331,0.578,-0.0623,0.268
survivors,C2,q,0.45,ALL,3944,3594,0.0516,0.1925,-0.0802,0.0717,,,,
survivors,B1,q,0.45,TRAIN,2269,2001,0.0196,0.6955,-0.0979,0.1024,0.0859,0.228,-0.0702,0.315
survivors,B2,q,0.45,TRAIN,1659,3121,0.0261,0.5935,-0.0956,0.0886,-0.0718,0.278,0.1271,0.07
survivors,B3,q,0.45,TRAIN,3652,1127,-0.0663,0.1585,-0.0906,0.0907,0.0222,0.747,-0.1623,0.017
survivors,B4,q,0.45,TRAIN,2250,2081,0.1532,0.0025,-0.0971,0.0984,0.229,0.001,0.0664,0.343
survivors,B5,q,0.45,TRAIN,2441,2339,0.028,0.5505,-0.0872,0.0898,0.0992,0.145,-0.137,0.029
survivors,B6,q,0.45,TRAIN,1723,2691,0.0065,0.8915,-0.0899,0.0932,0.0723,0.332,-0.087,0.215
survivors,C2,q,0.45,TRAIN,2465,2244,0.0497,0.278,-0.0917,0.0933,,,,
survivors,B1,q,0.45,TEST,1322,1209,0.0732,0.3205,-0.1406,0.1467,0.0405,0.697,0.0891,0.397
survivors,B2,q,0.45,TEST,987,1842,0.007,0.9135,-0.1364,0.1375,-0.0243,0.818,0.0692,0.471
survivors,B3,q,0.45,TEST,2164,665,-0.1301,0.084,-0.1453,0.1501,-0.1053,0.302,-0.1577,0.14
survivors,B4,q,0.45,TEST,1278,1339,0.0599,0.4035,-0.1416,0.1333,0.2109,0.029,-0.1019,0.322
